Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"105-2305, rue de Bogota",244900,Lebourgneuf,Québec Rive-Nord,2.0,1.0,1.0,1.0,1267.0,,261995.0,22731.0,100000.0,
"1196, rue des Cithares",459000,Val-Bélair,Québec Rive-Nord,3.0,1.0,1.0,2.0,1350.0,,330000.0,30822.0,144000.0,105000.0
"2752, rue Couture",249000,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,3.0,2.0,1.0,2.0,1417.0,,244400.0,15300.0,285200.0,
"., Domaine Le Gendre- Par SMB Dallaire",591000,Cap-Rouge,Québec Rive-Nord,3.0,1.0,1.0,2.0,,,,,,
"381, rue Laval",559500,Repentigny (Repentigny),Lanaudière,5.0,2.0,1.0,2.0,1639.0,7007.0,,,,
"300, rue Médard-Hébert",995000,La Prairie,Montérégie (Rive-Sud Montréal),5.0,2.0,,2.0,,,398700.0,52400.0,276000.0,108000.0
", chemin de l'Église",74745,St-Damien,Lanaudière,,,,,,22650.0,18524.0,,,
40e avenue - Modèle le Granite I  Par Construction Briand,460000,Ste-Marthe-Sur-Le-Lac,Laurentides,3.0,1.0,1.0,2.0,,,,,,
rue Marie-Carrier - Par Construction Réjean Morin,385000,Pintendre,Québec Rive-Sud (Lévis),3.0,1.0,1.0,2.0,1456.0,6286.0,,,,
"2223, rue Florian",440000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,1.0,1.0,,1.0,690.0,1300.0,148522.0,17756.0,155984.0,
"405-10085, rue de l'Épervier",326900,Mirabel (St-Canut),Laurentides,2.0,1.0,,4.0,1065.0,,134907.0,,50000.0,
"102-1305, rue de la Montagne-des-Roches",179000,Charlesbourg,Québec Rive-Nord,2.0,1.0,,1.0,,,174736.0,12767.0,63739.0,
"106-66, 37e Avenue Est",384999,Blainville,Laurentides,2.0,1.0,,1.0,,,170400.0,16000.0,,
"510, rue de Normandie",225000,St-Bruno,Saguenay-Lac-Saint-Jean,3.0,2.0,,1.0,912.0,2454.0,234228.0,,19728.0,
"53, rue Mercier",385000,Beauport,Québec Rive-Nord,2.0,1.0,,1.0,975.0,5625.0,354627.0,28649.0,114960.0,132400.0
"1042, rue du Prince-Albert",292000,Charlesbourg,Québec Rive-Nord,2.0,1.0,1.0,2.0,,,238324.0,20139.0,132000.0,
"816, rue de Vimy",365500,St-Nicolas,Québec Rive-Sud (Lévis),4.0,1.0,1.0,2.0,1440.0,6000.0,126500.0,19800.0,160000.0,
"62, rue Brière",950000,St-Jérôme (St-Jérôme),Laurentides,4.0,2.0,,,,6448.0,584500.0,60000.0,,158800.0
"3640, avenue Jaques-Dolbec",389500,Shawinigan (Shawinigan-Sud),Mauricie,5.0,2.0,,1.0,1230.0,,,,,
"52, rue Elphège",445000,Victoriaville,Centre-du-Québec,4.0,1.0,2.0,2.0,1792.0,5715.0,330000.0,20800.0,283000.0,119000.0
"202-128, boulevard de Bromont",329000,Bromont,Estrie,1.0,1.0,,1.0,600.0,1.0,184600.0,11800.0,51000.0,49200.0
"3325, rue Cournoyer",369000,Sorel-Tracy,Montérégie (Rive-Sud Montréal),4.0,1.0,2.0,1.0,,,164200.0,14820.0,120000.0,40000.0
"6572, chemin du Lac Pilon",1250000,Ste-Adèle,Laurentides,,,,,,,,,,
